Gym_Name,Address
Planet Fitness,"610 E Valley Blvd Alhambra, CA 91801 US"
Planet Fitness,"1620 W Katella Ave Anaheim, CA 92802 US"
Planet Fitness,4863 Lone Tree Prkwy Antioch CA 94531 US
Planet Fitness,"1576 West Branch Street Arroyo Grande, CA 93420 US"
Planet Fitness,"8210 El Camino Real Atascadero, CA 93422-5215 US"
Planet Fitness,"731 Airport Dr Bakersfield, CA 93308 US"
Planet Fitness,"4001 California Ave Bakersfield, CA 93309 US"
Planet Fitness,"6151 Niles St Bakersfield, CA 93306 US"
Planet Fitness,"6300 Ashe Rd Bakersfield, CA 93313 US"
Planet Fitness,"2300 White Ln Bakersfield, CA 93304 US"
Planet Fitness,"1579 E 2nd St Beaumont, CA 92223 US"
Planet Fitness,"9055 Artesia Blvd Bellflower, CA 90706 US"
Planet Fitness,"8379 La Palma Ave Buena Park, CA 90620 US"
Planet Fitness,"8960 Knott Ave Buena Park, CA 90620-4137 US"
Planet Fitness,"10950 Sherman Way, Ste 160 Burbank, CA 91505 US"
Planet Fitness,"2304 Imperial Ave Calexico, CA 92231 US"
Planet Fitness,"2440 Las Posas RD Camarillo, CA 93010 US"
Planet Fitness,"2502 EL Camino Real Carlsbad, CA 92008 US"
Planet Fitness,"123 E Lomita Blvd, Carson, CA 90745-6305 US"
Planet Fitness,"504 Carson Town Center N Carson, CA 90745 US"
Planet Fitness,"34461 Date Palm Dr, Cathedral City, CA 92234 US"
Planet Fitness,"2916 E Whitmore Ave, Ceres, CA 95307 US"
Planet Fitness,"12831 Towne Center Dr Cerritos, CA 90703 US"
Planet Fitness,"9825 Matson Ave Chatsworth, CA 91311 US"
Planet Fitness,"1950 East 20th St, Chico, CA 95928 US"
Planet Fitness,"5515 Philadelphia St Chino, CA 91710 US"
Planet Fitness,"1210 Broadway Chula Vista, CA 91911 US"
Planet Fitness,"2015 Birch Rd, Unit 0150, Chula Vista, CA 91915 US"
Planet Fitness,"7016 Sunrise Blvd, Citrus Heights, CA 95610 US"
Planet Fitness,"634 Shaw Ave, Clovis, CA 93612 US"
Planet Fitness,"50249 Cesar Chavez St, Coachella, CA 92236 US"
Planet Fitness,"235 E Compton Blvd, Compton, CA 90220 US"
Planet Fitness,"3375 Port Chicago Hwy, Suite 51 Concord, CA 94520 US"
Planet Fitness,"3685 Grand Oaks, Corona, CA 92881 US"
Planet Fitness,"1540 W 6th St Corona, CA 92882 US"
Planet Fitness,"2200 Harbo Blvd Costa Mesa, CA 92627 US"
Planet Fitness,"1480 N Azusa Ave, Ste A Covina, CA 91722 Us"
Planet Fitness,"2945 Junipero Serra Blvd, Daly City, CA 94014-2549"
Planet Fitness,"625 Cecila Ave, Delano, CA 93215 US"
Planet Fitness,"2797 S Diamond Bar Blvd Diamond Ba, CA 91765-3414 US"
Planet Fitness,"9501 Lakewood Blvd, Downey, CA 90240 US"
Planet Fitness,"1193 Huntington Dr Duarte, CA 91010 US"
Planet Fitness,"10715 Macarthur Blvd Oakland, CA 94605-5257 US"
Planet Fitness,"1910 N Imperial Ave, El Centro CA 92243 US"
Planet Fitness,"3542 N Peck Rd El Monte, CA 91731 US"
Planet Fitness,"17401 Ventura Blvd Encinco, CA 91316 US"
Planet Fitness,"1256 Auto Park Way Escondido, CA 92029 US"
Planet Fitness,"3300 Broadway St, Ste 700 Eureka, CA 95501 US"
Planet Fitness,"4854 San Juan Ave Fair Oaks, CA 95628 US"
Planet Fitness,"2525 N Texas St, Ste D fairfield, CA 94533 US"
Planet Fitness,"875 E Bidwell St, Folsom, CA 95630-3349 US"
Planet Fitness,"14940 Summit Ave, Fontana, CA 92336 US"
Planet Fitness,"10200 Juniper Ave, Fontana, CA 92335 US"
Planet Fitness,"26682 Portola Pkwy Foothill Ranch, CA 92610 US"
Planet Fitness,"16201 Harbor Blvd Fountain Valley, CA 92708 US"
Planet Fitness,"35630 Fremont Blvd, Fremont, CA 94536 US"
Planet Fitness,"39161 Farwell Dr, Fremont, CA 94538 US"
Planet Fitness,"741 E Barstow Ave Fresno, CA 93710 US"
Planet Fitness,"3756 N Blackstone Ave, Frenso, CA 93726 US"
Planet Fitness,"3382 W Shaw Ave Fresno, CA 93711 US"
Planet Fitness,"4938 E Kings Canyon Rd, Fresno, Ca 93727-9896 US"
Planet Fitness,"104 North Raymond Ave, Fullerton, CA 92831 US"
Planet Fitness,"12927 Beach Blvd, Stanton, CA 90680 US"
Planet Fitness,"7127 Hollister Ave, Goleta, CA 93117-2859 US"
Planet Fitness,"11122 Balboa Blvd, Granada Hills, CA 91344 US"
Planet Fitness,"1919 W Lacey Blvd, Hanford, CA 93230 US"
Planet Fitness,"21101 Horwalk Blvd, Hawaiian Gardens, CA 90716-1017 US"
Planet Fitness,"13119 Hawthorne Blvd, Hawthorne, CA 90250 US"
Planet Fitness,"214 B Southland Mall Dr, Hayward, CA 94545 US"
Planet Fitness,"1390 E Florida Ave, #A8 Hemet, CA 92544 US"
Planet Fitness,"260 E Lake Mead Pkwy, Henderson, NV 89015 US"
Planet Fitness,"18683 Bear Valley Rd, Hesperia, CA 92395 US"
Planet Fitness,"12745 Main St, Hesperia, CA 92345 US"
Planet Fitness,"19101 Goldenwest St, Huntington Beach, CA 92648 US"
Planet Fitness,"7010 S Alameda St Huntington Park, CA 90255 US"
Planet Fitness,"2700 W Imperial Hwy Inglewood, CA 90303 US"
Planet Fitness,"500 E Manchester Blvd Ste A, Inglewood, CA 90301-9295 US"
Planet Fitness,"1717 N Hacienda Blvd, la Puente, CA 91744 US"
Planet Fitness,"78987 Hwy 111 La Quinta, CA 92253 US"
Planet Fitness,"30272 Crown Valley Pkwy, Laguna Niguel, Ca 92677 US"
Planet Fitness,"32261 Mission Trail, Bldg F Lake Elsinore, CA 92530 US"
Planet Fitness,"23633 El Toro Rd Lake Forest, CA 92630-4780 US"
Planet Fitness,"12419 Woodside Ave, Lakeside, CA 92040 US"
Planet Fitness,"44600 Valley Central Way Lancaster, CA 93536 US"
In Shape,"4099 Lone Tree Way Antioch, CA"
In Shape,"5294 Clayton Road, Concord CA"
In Shape,"2370 Fremont Street, Monterey CA"
In Shape,"125 Sunset Avenue, Suisun City CA"
In Shape,"2501 Shaffer Road, Atwater CA"
In Shape,"4242 Sports Club Drive, El Dorado CA"
In Shape,"925 Hartle Court, Napa CA"
In Shape,"101 South Tracy, Boulevard CA"
In Shape,"4230 California Avenue, Bakersfield CA"
In Shape,"3001 Dover Avenue, Fairfield CA"
In Shape,"4644 East Avenue South, Palmdale CA"
In Shape,"2821 Countryside Drive, Turlock CA"
In Shape,"2681 Oswell Street, Bakersfield CA"
In Shape,"1320 W. Lockeford Street, Lodi CA"
In Shape,"899 W. Henderson Avenue, Porterville CA"
In Shape,"615 Elmira Road, Vacaville CA"
In Shape,"5423 Calloway Drive, Bakersfield CA"
In Shape,"1805 E. Yosemite Avenue, Manteca CA"
In Shape,"1502 N. Main Street, Salinas CA"
In Shape,"124 Lincoln Road East, Vallejo CA"
In Shape,"2951 N. G Street, Merced CA"
In Shape,"1040 N. Davis Road, Salinas CA"
In Shape,"14601 Valley Center Drive, Victorville CA"
In Shape,"11340 Ming Avenue, Bakersfield CA"
In Shape,"350 E. Yosemite Avenue, Merced CA"
In Shape,"1318 S. Broadway, Santa Maria CA"
In Shape,"909 N. Demaree Street, Visalia CA"
In Shape,"4801 White Lane, Bakersfield CA"
In Shape,"2254 Floyd Avenue, Modesto CA"
In Shape,"7920 Kelley Drive, Stockton CA"
In Shape,"1313 S. Mooney Boulevard, Visalia CA"
In Shape,"180 Griffith Lane, Brentwood CA"
In Shape,"2700 McHenry Avenue, Modesto CA"
In Shape,"4555 N. Pershing Avenue Ste. #1, Stockton CA"
In Shape,"285 California Street, Woodland CA"
In Shape,"1100 41st Avenue, Capitola CA"
In Shape,"35935 Date Palm Drive, Cathedral City CA"
In Shape,"1800 Prescott Road, Modesto CA"
In Shape,"1074 E. Bianchi Road, Stockton CA"
In Shape,"1360 Franklin Road, Yuba City CA"
In Shape,"1769 Mitchell Road, Ceres CA"
Crunch Fitness,"2247 South Shore Center, Alameda, CA 94501"
Crunch Fitness,"2401 N Chester Ave, Bakersfield, CA 93308"
Crunch Fitness,"3030 Plaza Bonita Rd, National City, CA 91950"
Crunch Fitness,"761 N San Fernando Blvd, Burbank CA 91502"
Crunch Fitness,"6025 Village Way, San Diego, CA 92130"
Crunch Fitness,"11881 Del Amo Blvd, Cerritos, CA 90703"
Crunch Fitness,"20914 Nordhoff St. Chatsworth, CA 91311"
Crunch Fitness,"2324 Chestnut St. San Francisco, CA 94123"
Crunch Fitness,"5420 E Philadelphia St. Chino, CA 91710"
Crunch Fitness,"6124 San Juan Ave, Citrus Heights, CA 95610"
Crunch Fitness,"1292 Border ave, Corona, CA 92882"
Crunch Fitness,"60 Serramonte Center, Daly City, CA 94015"
Crunch Fitness,"1132 S Diamond Bar Blvd, Diamond Bar, CA 91765"
Crunch Fitness,"100 Oceangate, Long Beach, CA 90802"
Crunch Fitness,"851 Showroom Pl, Chula Vista, CA 91914"
Crunch Fitness,"522 Jamacha RD, El Cajon, CA 92019"
Crunch Fitness,"9661 E Stockton Blvd, Elk Grove, CA 95624"
Crunch Fitness,"1500 Oliver Road, Fairfield CA 94434"
Crunch Fitness,"6360 North Figarden Drive, Fresno, CA 93722"
Crunch Fitness,"1010 East Bidwell Street, Folsom, CA 95630"
Crunch Fitness,"18081 Magnolia St, Fountain Valley, CA 92708"
Crunch Fitness,"9822 Katella Ave, Garden Grove, CA 92804"
Crunch Fitness,"4120 Douglas Blvd, Granite Bay, CA 95746"
Crunch Fitness,"1250 Howe Ave, Sacramento, CA 95825"
Crunch Fitness,"5894 Edinger Ave, Huntington Beach, CA 92649"
Crunch Fitness,"5815 Bellflower Blvd, Lakewood, CA 90713"
Crunch Fitness,"12805 Valley View Ave, La Mirada, CA 90638"
Crunch Fitness,"1020 Commerce Center Drive, Lancaster, CA 93534"
Crunch Fitness,"1473 Foothill Blvd, La Verne, CA 91750"
Crunch Fitness,"4280 Long Beach Blvd, Long Beach, CA 90807"
F45 ,"7544 Dublin Blvd, Dublin CA 94568"
F45 ,"17460 Depot Street, Suite 100 Morgan Hill CA, 95037"
F45 ,"3151 Crow Canyon Pl, San Ramon, CA 94583"
F45 ,"1150 Foxworthy Ave, San Jose, CA 95118"
F45 ,"671 Tasman Drive, Sunnyvale CA"
F45 ,"412 E Campbell Ave, Campbell, CA 95008 USA"
F45 ,"1705 Branham Ln, San Jose, CA 95118"
F45 ,"1545 Botelho Dr, Walnut Creek, CA 94596"
F45 ,"18700 Vallco Pkwy, Cupertino, CA 95014"
F45 ,"535 Center St, Morage, CA 94556"
F45 ,"1250 Grant RD, Mountain View, CA 94040"
F45 ,"1720 21st Street, Sacramento, CA 95811"
Snap Fitness,"18919 Ferretti Rd, Suite B, Groveland CA 95321"
Snap Fitness,"1900 McHenry Ave, Escalon CA 95320"
Snap Fitness,"8050 Santa Teresa Blvd, Gilroy CA 95020"
Snap Fitness,"60 N Winchester Blvd #8, Santa Clara CA 95050"
Snap Fitness,"6454 Pony Express Trl, Suite 25, Pollock Pines CA 95726"
Snap Fitness,"955 Fremont Ave, Los Altos CA 94024"
Snap Fitness,"1248 Broadway, Placerville CA 95667"
Snap Fitness,"3975 Durock Rd, Suite 104, Shingle Springs CA 95682"
Snap Fitness,"1516 Kirker Pass Road #A, Clayton CA 94517"
Snap Fitness,"2222 Francisco Dr, #290, El Dorado Hills CA 95762"
Snap Fitness,"3209 Oak Knoll Dr, Redwood City CA 94062"
Snap Fitness,"1533A Palos Verdes Mall, Walnut Creek CA 94597"
Snap Fitness,"1232 W Hillsdale Blvd, San Mateo CA 94403"
Snap Fitness,"20 Stone Pine Rd, Half Moon Bay CA 94019"
Snap Fitness,"19233 Golden Valley Rd, Santa Clarita CA 91387"
Snap Fitness,"807 Meridian Ave, South Pasadena CA 91030"
Snap Fitness,"2451 Mission Street, San Marino CA 91108"
Snap Fitness,"2000 Huntington Dr, San Marino CA 91108"
Snap Fitness,"1707 Colusa Hwy, Suite 400, Yuba City CA 95993"
